title,artist,link
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/50386?highlight=*:*
Untitled - Two Boys in Patterned Shirts (1985-1986),Dorothy Black Untitled - Two Boys in Patterned Shirts ,https://collections.ed.ac.uk/art/record/99467?highlight=*:*
Italian Cityscape (1953-1954),Trevor Stubley Italian Cityscape ,https://collections.ed.ac.uk/art/record/20798?highlight=*:*
Border Wayleave (1990),Hazel Holmes Border Wayleave ,https://collections.ed.ac.uk/art/record/22523?highlight=*:*
Untitled (1980),Unknown Untitled ,https://collections.ed.ac.uk/art/record/99823?highlight=*:*
Portrait (1953),George Roderick Carmichael Portrait ,https://collections.ed.ac.uk/art/record/22644?highlight=*:*
Untitled (1967),William G.H. Fulton Untitled ,https://collections.ed.ac.uk/art/record/99820?highlight=*:*
Leprosy Capital (Diptych),Paul J Donaldson Leprosy Capital ,https://collections.ed.ac.uk/art/record/21444?highlight=*:*
Unknown (1955),Alejandro B. Bras,https://collections.ed.ac.uk/art/record/50603?highlight=*:*
1. Meccarama (Unknown),Anthony Benjamin ,https://collections.ed.ac.uk/art/record/21667?highlight=*:*
Sunset (1959),Denness Morton Sunset ,https://collections.ed.ac.uk/art/record/21081?highlight=*:*
Standing Male Nude with Staff (1960),Derek Shiel Standing Male Nude with Staff ,https://collections.ed.ac.uk/art/record/20815?highlight=*:*
Norwegian Ponies (1953),Mollie E N Langlands Norwegian Ponies ,https://collections.ed.ac.uk/art/record/99218?highlight=*:*
Interior of Glasshouse at Botanical Gardens (1982),Rena R. Simpson II Interior of Glasshouse at Botanical Gardens ,https://collections.ed.ac.uk/art/record/99332?highlight=*:*
Woman with Glass of Wine,Zygmunt Bukowski Woman with Glass of Wine,https://collections.ed.ac.uk/art/record/112513?highlight=*:*
Theatre (Unknown),Rob McLaurin Theatre ,https://collections.ed.ac.uk/art/record/21749?highlight=*:*
Unknown (1960),Alan M. Alexander Unknown ,https://collections.ed.ac.uk/art/record/50596?highlight=*:*
Untitled (1981-1986),Paul John Croft Untitled ,https://collections.ed.ac.uk/art/record/21860?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall Unknown,https://collections.ed.ac.uk/art/record/99486?highlight=*:*
